entrez_id	essentiality	data_source
890	Essential	PMID:26472758,PMID:26472760,PMID:18239125,PMID:26627737,PMID:19490893
100528020	Non-essential	PMID:18239125
50805	Non-essential	PMID:26472758,PMID:26472760,PMID:18239125
55054	Non-essential	PMID:26472758,PMID:26472760,PMID:18239125
56099	Non-essential	PMID:26472760,PMID:18239125
6727	Non-essential	PMID:26472758,PMID:26472760,PMID:18239125
8284	Non-essential	PMID:26472758
6373	Non-essential	PMID:26472758,PMID:26472760,PMID:18239125
55859	Non-essential	PMID:26472758,PMID:26472760,PMID:18239125
79628	Non-essential	PMID:26472758,PMID:26472760,PMID:19490893,PMID:18239125
388759	Non-essential	PMID:26472760,PMID:18239125
27252	Non-essential	PMID:26472758,PMID:26472760,PMID:18239125
1942	Non-essential	PMID:26472758,PMID:26472760,PMID:18239125
55974	Non-essential	PMID:26472758,PMID:26472760,PMID:18239125
991	Essential	PMID:26472758,PMID:26472760,PMID:18239125,PMID:26627737
10766	Non-essential	PMID:26472758,PMID:26472760,PMID:18239125
1260	Non-essential	PMID:26472758,PMID:26472760,PMID:19490893,PMID:18239125
5027	Non-essential	PMID:26472758,PMID:26472760
9775	Essential	PMID:26472758,PMID:26472760,PMID:19490893,PMID:18239125,PMID:26627737
5598	Non-essential	PMID:26472758,PMID:26472760,PMID:18239125,PMID:19490893
221264	Non-essential	PMID:26472758,PMID:26472760,PMID:18239125
54984	Non-essential	PMID:26472758,PMID:26472760,PMID:18239125,PMID:26627737
117289	Non-essential	PMID:26472758,PMID:26472760,PMID:18239125
27304	Non-essential	PMID:26472758,PMID:26472760,PMID:18239125,PMID:26627737
6780	Non-essential	PMID:26472758,PMID:26472760,PMID:18239125
60437	Non-essential	PMID:26472758,PMID:26472760,PMID:18239125
5740	Non-essential	PMID:26472758,PMID:26472760,PMID:18239125
5352	Non-essential	PMID:26472758,PMID:26472760,PMID:18239125
60491	Non-essential	PMID:26472758,PMID:26472760,PMID:18239125,PMID:26627737
9961	Non-essential	PMID:26472758,PMID:26472760,PMID:19490893,PMID:18239125
4256	Non-essential	PMID:26472758,PMID:26472760,PMID:18239125
94015	Non-essential	PMID:26472758,PMID:26472760,PMID:18239125
8437	Non-essential	PMID:26472758,PMID:26472760,PMID:18239125
27333	Non-essential	PMID:26472758,PMID:26472760,PMID:18239125
6154	Essential	PMID:26472758,PMID:26472760,PMID:18239125
2633	Non-essential	PMID:26472758,PMID:26472760,PMID:18239125
51056	Non-essential	PMID:26472758,PMID:26472760,PMID:18239125
1019	Essential	PMID:26472758,PMID:26472760,PMID:18239125,PMID:22585861,PMID:26627737
2647	Non-essential	PMID:26472758,PMID:18239125
6507	Non-essential	PMID:26472758,PMID:26472760,PMID:18239125
6604	Non-essential	PMID:26472758,PMID:26472760,PMID:18239125
5929	Essential	PMID:26472758,PMID:26472760,PMID:18239125,PMID:26627737
27124	Non-essential	PMID:26472758,PMID:26472760,PMID:18239125
8340	Non-essential	PMID:26472758,PMID:26472760,PMID:18239125
2635	Non-essential	PMID:26472758,PMID:26472760,PMID:18239125
192111	Non-essential	PMID:26472758,PMID:26472760
2182	Non-essential	PMID:26472758,PMID:26472760,PMID:19490893,PMID:18239125,PMID:26627737
728403	Non-essential	PMID:26472758,PMID:18239125
390010	Non-essential	PMID:26472758,PMID:26472760
521	Non-essential	PMID:26472758,PMID:26472760,PMID:18239125,PMID:26627737
28996	Non-essential	PMID:26472760,PMID:18239125
118424	Non-essential	PMID:26472758,PMID:26472760,PMID:18239125,PMID:26627737
55773	Non-essential	PMID:26472758,PMID:26472760,PMID:18239125
56675	Non-essential	PMID:26472758,PMID:26472760,PMID:18239125
170575	Non-essential	PMID:26472758,PMID:26472760,PMID:18239125
2010	Non-essential	PMID:26472758,PMID:26472760,PMID:18239125
2906	Non-essential	PMID:26472758,PMID:26472760,PMID:18239125
120400	Non-essential	PMID:26472758,PMID:26472760,PMID:18239125
23546	Non-essential	PMID:26472758,PMID:26472760,PMID:18239125
9957	Non-essential	PMID:26472758,PMID:26472760,PMID:18239125
4267	Non-essential	PMID:26472758,PMID:26472760,PMID:18239125
151230	Non-essential	PMID:26472758,PMID:26472760,PMID:18239125
51773	Non-essential	PMID:26472758,PMID:26472760,PMID:18239125
57674	Non-essential	PMID:26472758,PMID:26472760,PMID:18239125
130813	Non-essential	PMID:26472758,PMID:26472760,PMID:22585861,PMID:18239125,PMID:26627737
9324	Non-essential	PMID:26472758,PMID:26472760,PMID:18239125
9994	Non-essential	PMID:18239125
4439	Non-essential	PMID:26472758,PMID:26472760,PMID:18239125
3101	Non-essential	PMID:26472758,PMID:26472760,PMID:18239125
1584	Non-essential	PMID:26472758,PMID:26472760,PMID:19490893,PMID:18239125
158431	Non-essential	PMID:26472758,PMID:26472760,PMID:18239125
54742	Non-essential	PMID:26472758,PMID:18239125
3263	Non-essential	PMID:26472758,PMID:26472760,PMID:18239125
162605	Non-essential	PMID:26472758,PMID:26472760,PMID:18239125
10168	Non-essential	PMID:26472758,PMID:26472760,PMID:18239125
2554	Non-essential	PMID:26472758,PMID:26472760,PMID:18239125
3066	Non-essential	PMID:26472758,PMID:26472760,PMID:18239125,PMID:26627737
346606	Non-essential	PMID:26472758,PMID:26472760,PMID:18239125
84935	Non-essential	PMID:26472758,PMID:26472760,PMID:18239125
284325	Non-essential	PMID:26472758,PMID:26472760,PMID:18239125
127833	Non-essential	PMID:26472758,PMID:26472760,PMID:18239125
51272	Non-essential	PMID:26472758,PMID:26472760,PMID:18239125,PMID:26627737
1130	Non-essential	PMID:26472758,PMID:19490893,PMID:18239125
1203	Non-essential	PMID:26472758,PMID:26472760,PMID:18239125
8848	Non-essential	PMID:26472758,PMID:26472760,PMID:18239125
6147	Essential	PMID:26472758,PMID:26472760,PMID:18239125,PMID:26627737
81689	Essential	PMID:26472758,PMID:26472760,PMID:18239125
119391	Non-essential	PMID:26472758,PMID:26472760,PMID:18239125
55315	Non-essential	PMID:26472758,PMID:26472760,PMID:18239125
8497	Non-essential	PMID:26472758,PMID:26472760,PMID:18239125
55632	Non-essential	PMID:26472758,PMID:26472760,PMID:18239125
81618	Non-essential	PMID:26472758,PMID:26472760,PMID:18239125
30832	Non-essential	PMID:26472758,PMID:26472760,PMID:18239125
3357	Non-essential	PMID:26472758,PMID:26472760,PMID:18239125
