Disease ID,Disease Name,Recall-at-100,Recall-at-25,AUROC,Mean Average Precision,Ranks,Nodes
DB12010,DB12010,0.07022988505747127,0.02011494252873563,0.856711315172219,0.015225296336344406,3061.478260869565,5936.555183946488
DB02325,DB02325,0.0,0.0,0.6355120230247888,0.00033548988118122696,7927.733333333334,4810.2
DB03127,DB03127,0.2,0.0,0.947041351464241,0.006402784372283811,1142.1,2941.1
DB00934,DB00934,0.15,0.0,0.9715622098421539,0.009995877230167772,629.2352941176471,1358.4705882352941
DB08515,DB08515,1.0,1.0,1.0,1.0,1.2857142857142858,3956.5
DB01244,DB01244,0.1,0.0,0.9155288439225879,0.0034513642429937854,1821.1,3139.7
DB00540,DB00540,0.06666666666666667,0.0,0.9279748912521864,0.004744022098926938,1573.4166666666667,1886.9583333333333
DB03088,DB03088,0.0,0.0,0.6435672514619883,0.0017331715493811184,8277.636363636364,3644.5454545454545
DB03247,DB03247,0.0,0.0,0.8523253655140405,0.0006959751877676277,3189.0,7500.833333333333
DB01149,DB01149,0.2,0.0,0.9484939898825824,0.007645342772143805,1110.8,2366.2
DB00228,DB00228,0.45,0.45,0.8326136416399684,0.13328431933047574,3606.5,2959.4
DB06153,DB06153,0.3,0.05,0.9909103569936402,0.0225749690413119,189.8125,1212.125
