HGNC ID	NCBI gene ID	Ensembl gene ID
HGNC:21236	653483	ENSG00000198221
HGNC:7135	4299	ENSG00000172493
HGNC:3776	2334	ENSG00000155966
HGNC:41334	100874269	ENSG00000223516
HGNC:6473	3899	ENSG00000144218
HGNC:17869	27125	ENSG00000072364
HGNC:16411	246269	ENSG00000135537
HGNC:314	172	ENSG00000223959
HGNC:315	10939	ENSG00000141385
HGNC:24169	347028	ENSG00000253606
HGNC:316	173	ENSG00000079557
HGNC:20910	125061	ENSG00000183077
HGNC:317	174	ENSG00000081051
HGNC:25951	54812	ENSG00000119844
HGNC:318	175	ENSG00000038002
HGNC:16922	116987	ENSG00000157985
HGNC:41427	100506749	ENSG00000235529
HGNC:16921	116986	ENSG00000135439
HGNC:48633	100130776	ENSG00000255737
HGNC:16923	116988	ENSG00000133612
HGNC:23459	119016	ENSG00000188234
HGNC:23467	729092	ENSG00000172650
HGNC:23466	414189	ENSG00000204149
HGNC:23465	653268	ENSG00000264204
HGNC:23463	642517	ENSG00000204172
HGNC:23659	653234	ENSG00000230869
HGNC:29421	119385	ENSG00000271880
HGNC:23661	414224	ENSG00000265018
HGNC:23499	728005	ENSG00000243289
HGNC:23660	653259	ENSG00000279058
HGNC:26504	123624	ENSG00000273540
HGNC:48617	727915	ENSG00000260125
HGNC:26296	79841	ENSG00000165923
HGNC:27981	340351	ENSG00000146856
HGNC:25892	84871	ENSG00000186094
HGNC:41123	101929721	ENSG00000230114
HGNC:41482	100874313	ENSG00000225623
HGNC:26147	60509	ENSG00000084693
HGNC:41133	100874031	ENSG00000231636
HGNC:41484	106481744	ENSG00000229122
HGNC:320	177	ENSG00000204305
HGNC:5175	3267	ENSG00000173744
HGNC:5177	3268	ENSG00000106351
HGNC:24684	55109	ENSG00000164252
HGNC:38051	100132380	ENSG00000214273
HGNC:38052	644435	ENSG00000233435
HGNC:38053	391552	ENSG00000241532
HGNC:38054	100129351	ENSG00000261689
HGNC:51741	100128103	ENSG00000260680
HGNC:51744	106481737	ENSG00000259836
HGNC:51740	100132606	ENSG00000260994
HGNC:51745	100128804	ENSG00000261752
HGNC:51746	100127958	ENSG00000260427
HGNC:51747	100288774	ENSG00000282968
HGNC:21869	55750	ENSG00000006530
HGNC:37661	359793	ENSG00000226555
HGNC:321	178	ENSG00000162688
HGNC:18407	79814	ENSG00000116771
HGNC:33784	392636	ENSG00000187546
HGNC:3262	26523	ENSG00000092847
HGNC:3263	27161	ENSG00000123908
HGNC:18421	192669	ENSG00000126070
HGNC:18424	192670	ENSG00000134698
HGNC:324	10554	ENSG00000204310
HGNC:325	10555	ENSG00000169692
HGNC:326	56894	ENSG00000160216
HGNC:20885	56895	ENSG00000026652
HGNC:20988	79992	ENSG00000279355
HGNC:20886	55326	ENSG00000155189
HGNC:37709	646231	ENSG00000234652
HGNC:327	8540	ENSG00000018510
HGNC:328	10551	ENSG00000106541
HGNC:24167	155465	ENSG00000173467
HGNC:329	375790	ENSG00000188157
